task_id	legacy_slot	slug	title_cn	suite	task_kind	primary_metric	source_id	adapter	split_policy	context_bp	data_state	formal_state	execution_state	biological_question	notes
B16	B16	crop_exon_order_same_gene_membership	外显子顺序与同基因关系	crop_specialty	multiclass_classification	macro_f1	cropgenome_local_derived_v1	canonical_existing	downstream_genus_disjoint	[512, 2048, 8192]	local_ready_completed_step19000	ready	implemented	模型能否判断外显子是否同属一个基因及相对顺序？	NA
B17	B17	low_homology_cross_genus_sensitivity	跨属低同源敏感性轨	crop_specialty	sensitivity_track	relative_metric_retention	cropgenome_local_derived_v1	sensitivity_track	inherits_B13_B16_test	[512, 2048, 8192]	local_ready_completed_step19000	ready	implemented	在下游冷属但预训练见属条件下，低同源样本性能保留多少？	不是严格zero-shot；当前cohort与主test一致时不得包装成独立优势。
C01	NA	official_polyadenylation_6species	官方六物种poly(A)位点	published_parity	binary_classification	macro_f1	plant_genomic_benchmark_78ec8156	hf_fasta	official	[512, 2048, 8192]	source_verified	ready	implemented	跨六个植物物种识别加尾位点。	NA
C02	NA	official_splice_2datasets	官方剪接受体/供体两数据集	published_parity	binary_classification	macro_f1	plant_genomic_benchmark_78ec8156	hf_fasta	official	[512, 2048, 8192]	source_verified	ready	implemented	按AgroNT官方划分识别供体和受体。	NA
C03	NA	official_promoter_strength_2conditions	启动子强度双条件回归	published_parity	regression	spearman	plant_genomic_benchmark_78ec8156	hf_fasta	official	[512, 2048, 8192]	source_verified	ready	implemented	预测内源与随机启动子实验强度。	NA
C04	NA	official_terminator_strength_2conditions	终止子强度双条件回归	published_parity	regression	spearman	plant_genomic_benchmark_78ec8156	hf_fasta	official	[512, 2048, 8192]	source_verified	ready	implemented	预测内源与随机终止子实验强度。	NA
C05	NA	official_chromatin_accessibility_7species	七物种染色质开放性	published_parity	binary_classification	auprc	plant_genomic_benchmark_78ec8156	hf_fasta	official	[1000]	source_verified	ready	implemented	序列能否跨物种预测开放染色质？	NA
C06	NA	core_promoter_multispecies	多物种核心启动子	published_parity	binary_classification	macro_f1	pdllm_core_promoter	hf_csv	official	[512, 2048, 8192]	source_verified	ready	implemented	识别核心启动子序列。	NA
C07	NA	sequence_conservation_multispecies	多物种保守序列	published_parity	binary_classification	macro_f1	pdllm_conservation	hf_csv	official	[512, 2048, 8192]	source_verified	ready	implemented	识别独立比较基因组定义的保守片段。	NA
C08	NA	histone_h3k27ac_multispecies	H3K27ac组蛋白修饰	published_parity	binary_classification	macro_f1	pdllm_histone	hf_csv	official	[512, 2048, 8192]	source_verified	ready	implemented	DNA序列能否预测活性调控相关修饰？	NA
C09	NA	histone_h3k27me3_multispecies	H3K27me3组蛋白修饰	published_parity	binary_classification	macro_f1	pdllm_histone	hf_csv	official	[512, 2048, 8192]	source_verified	ready	implemented	DNA序列能否预测抑制性修饰？	NA
C10	NA	histone_h3k4me3_multispecies	H3K4me3组蛋白修饰	published_parity	binary_classification	macro_f1	pdllm_histone	hf_csv	official	[512, 2048, 8192]	source_verified	ready	implemented	DNA序列能否预测启动子相关修饰？	NA
C11	NA	open_chromatin_multispecies_3class	多物种开放染色质三分类	published_parity	multiclass_classification	macro_f1	pdllm_open_chromatin	hf_csv	official	[512, 2048, 8192]	source_verified	ready	implemented	区分不同开放染色质标签类别。	NA
C12	NA	plantcad1_tis_cross_species_token	PlantCAD跨物种翻译起始位点	published_parity	binary_classification	auprc	plantcad1_cross_species_token	hf_tsv	official_species_holdout	[512]	source_verified	ready	implemented	以512 bp窗口预测中心TIS位点标签并检验跨物种迁移。	NA
C13	NA	plantcad1_tts_cross_species_token	PlantCAD跨物种翻译终止位点	published_parity	binary_classification	auprc	plantcad1_cross_species_token	hf_tsv	official_species_holdout	[512]	source_verified	ready	implemented	以512 bp窗口预测中心TTS位点标签并检验跨物种迁移。	NA
C14	NA	plantcad1_donor_cross_species_token	PlantCAD跨物种剪接供体	published_parity	binary_classification	auprc	plantcad1_cross_species_token	hf_tsv	official_species_holdout	[512]	source_verified	ready	implemented	以512 bp窗口预测中心donor位点标签并检验跨物种迁移。	NA
C15	NA	plantcad1_acceptor_cross_species_token	PlantCAD跨物种剪接受体	published_parity	binary_classification	auprc	plantcad1_cross_species_token	hf_tsv	official_species_holdout	[512]	source_verified	ready	implemented	以512 bp窗口预测中心acceptor位点标签并检验跨物种迁移。	NA
C16	NA	plantcad1_evolutionary_constraint_token	PlantCAD跨物种进化约束	published_parity	binary_classification	auprc	plantcad1_cross_species_token	hf_tsv	official_species_holdout	[512]	source_verified	ready	implemented	以512 bp窗口预测中心constraint位点标签并检验跨物种迁移。	NA
C17	NA	plantcad2_motif_recovery_tis	PlantCAD2 TIS motif恢复	published_zero_shot	zero_shot_motif_recovery	top1_accuracy	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C18	NA	plantcad2_motif_recovery_tts	PlantCAD2 TTS motif恢复	published_zero_shot	zero_shot_motif_recovery	top1_accuracy	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C19	NA	plantcad2_motif_recovery_donor	PlantCAD2 donor motif恢复	published_zero_shot	zero_shot_motif_recovery	top1_accuracy	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C20	NA	plantcad2_motif_recovery_acceptor	PlantCAD2 acceptor motif恢复	published_zero_shot	zero_shot_motif_recovery	top1_accuracy	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C21	NA	plantcad2_core_noncore_tis	PlantCAD2核心/非核心TIS	published_zero_shot	zero_shot_binary	auprc	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C22	NA	plantcad2_core_noncore_tts	PlantCAD2核心/非核心TTS	published_zero_shot	zero_shot_binary	auprc	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C23	NA	plantcad2_core_noncore_donor	PlantCAD2核心/非核心donor	published_zero_shot	zero_shot_binary	auprc	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C24	NA	plantcad2_core_noncore_acceptor	PlantCAD2核心/非核心acceptor	published_zero_shot	zero_shot_binary	auprc	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C25	NA	plantcad2_poaceae_non_tis_conservation	禾本科非TIS位点保守性	published_zero_shot	zero_shot_binary	auprc	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C26	NA	plantcad2_andropogoneae_non_tis_conservation	高粱族非TIS位点保守性	published_zero_shot	zero_shot_binary	auprc	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C27	NA	plantcad2_poaceae_tis_conservation	禾本科TIS保守性	published_zero_shot	zero_shot_binary	auprc	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C28	NA	plantcad2_structural_variant_effect	PlantCAD2结构变异效应	published_zero_shot	zero_shot_variant	auprc	plantcad2_zero_shot	hf_parquet_zero_shot	official	[512, 2048, 8192]	source_verified	ready	implemented	比较参考与扰动序列概率，评估无需任务头的功能敏感性。	NA
C29	NA	plantcad2_acr_cross_species_arabidopsis_train	拟南芥训练的跨物种ACR	published_finetuning	binary_classification	auprc	plantcad2_fine_tuning	hf_parquet	official	[512, 2048, 8192]	source_verified	ready	implemented	只在拟南芥训练后能否迁移到10种植物开放染色质？	NA
C30	NA	plantcad2_acr_cross_species_nine_species_train	九物种训练的跨物种ACR	published_finetuning	binary_classification	auprc	plantcad2_fine_tuning	hf_parquet	official	[512, 2048, 8192]	source_verified	ready	implemented	多物种训练能否迁移到大麦和玉米？	NA
C31	NA	plantcad2_cell_type_specific_acr	细胞类型特异ACR多标签	published_finetuning	multilabel_classification	macro_auprc	plantcad2_fine_tuning	hf_parquet	official	[512, 2048, 8192]	source_verified	ready	implemented	序列能否预测92类细胞类型开放性？	NA
C32	NA	leaf_on_off_expression_cross_species	跨物种叶片表达开/关	published_finetuning	binary_classification	auroc	plantcad2_fine_tuning	hf_parquet	official	[512, 2048, 8192]	source_verified	ready	implemented	DNA序列能否跨物种判断叶片表达开关？	NA
C33	NA	leaf_absolute_expression_cross_species	跨物种叶片绝对表达	published_finetuning	regression	pearson	plantcad2_fine_tuning	hf_parquet	official	[512, 2048, 8192]	source_verified	ready	implemented	DNA序列能否跨物种预测叶片绝对表达？	NA
C34	NA	leaf_on_off_translation_cross_species	跨物种叶片翻译开/关	published_finetuning	binary_classification	auroc	plantcad2_fine_tuning	hf_parquet	official	[512, 2048, 8192]	source_verified	ready	implemented	DNA序列能否跨物种判断翻译开关？	NA
C35	NA	leaf_absolute_translation_cross_species	跨物种叶片绝对翻译量	published_finetuning	regression	pearson	plantcad2_fine_tuning	hf_parquet	official	[512, 2048, 8192]	source_verified	ready	implemented	DNA序列能否跨物种预测翻译量？	NA
C36	NA	sorghum_26tissue_expression	高粱26组织表达谱	published_crop_expression	multioutput_regression	macro_pearson	gxa_sorghum_v1	hf_parquet	official	[512]	source_verified	ready	implemented	高粱基因邻域序列能否预测26个组织/时期的表达谱？	NA
D01	NA	arabidopsis_genomic_region_7class	拟南芥基因组区域七分类	published_variant_and_annotation	multiclass_classification	macro_f1	gpn_processed_arabidopsis	gpn_parquet	official_leave_one_chromosome_out	[512]	source_verified	ready	implemented	嵌入能否区分CDS、内含子、3′UTR、5′UTR、ncRNA、重复和间区七类区域？	NA
D02	NA	arabidopsis_rare_vs_common_variant	拟南芥稀有/常见变异	published_variant_and_annotation	zero_shot_variant	auroc	gpn_processed_arabidopsis	gpn_parquet	official_population_frequency	[512]	source_verified	ready	implemented	纯序列变异分数能否富集受选择压低频率的稀有变异？	NA
D03	NA	arabidopsis_aragwas_hit_enrichment	AraGWAS显著位点富集	published_variant_and_annotation	zero_shot_variant	top_1pct_odds_ratio	gpn_processed_arabidopsis	gpn_parquet	official_aragwas	[512]	source_verified	ready	implemented	纯序列变异分数能否富集独立GWAS显著位点？	主轨报告原始序列分数；LD聚合仅作单列扩展，不进入纯序列主榜。
